Province/Territories,2016_Positive,2016_Negative,2017_Positive,2017_Negative,2018_Positive,2018_Negative,2019_Positive,2019_Negative,2020_Positive,2020_Negative,2021_Positive,2021_Negative,2022_Positive,2022_Negative,2023_Positive,2023_Negative
Alberta,55.0,6.0,55.0,5.0,77.0,5.0,59.0,1.0,44.0,0.0,63.0,3.0,51.0,0.0,58.0,0.0
British Columbia,32.0,9.0,29.0,5.0,43.0,0.0,32.0,1.0,37.0,1.0,32.0,0.0,27.0,0.0,36.0,0.0
Canada,5408.0,213.0,5078.0,164.0,5441.0,67.0,5074.0,38.0,4690.0,22.0,4748.0,13.0,5501.0,4.0,5395.0,4.0
Manitoba,4.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,5.0,0.0,4.0,0.0,8.0,0.0,2.0,0.0
New Brunswick,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0
Newfoundland and Labrador,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0
Notes:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Scotia,12.0,2.0,14.0,0.0,22.0,1.0,23.0,0.0,21.0,0.0,23.0,0.0,30.0,0.0,27.0,0.0
Ontario,47.0,2.0,55.0,0.0,49.0,0.0,37.0,0.0,48.0,0.0,50.0,1.0,57.0,0.0,51.0,0.0
Prince Edward Island,33.0,2.0,42.0,0.0,44.0,0.0,48.0,0.0,60.0,0.0,50.0,0.0,75.0,0.0,72.0,0.0
Quebec,7.0,0.0,3.0,0.0,7.0,0.0,6.0,0.0,4.0,0.0,7.0,0.0,11.0,0.0,5.0,0.0
Saskatchewan,3.0,0.0,4.0,0.0,5.0,1.0,4.0,0.0,5.0,0.0,4.0,0.0,7.0,0.0,5.0,0.0
