Employers who were issued a positive Labour Market Impact Assessment (LMIA) by National Occupational Classification (NOC) 2011 and business location in 2016,,,,
Province/Territory,Employer,Address,Occupations under NOC 2011,Positions Approved
Newfoundland and Labrador,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",6311-Food service supervisors,1
,10565 NFLD. Inc.,"Goose Bay, NL A0P 1C0",6312-Executive housekeepers,1
,,"Happy Valley Goose Bay, NL A0P 1C0",6312-Executive housekeepers,2
,75038 Newfoundland and Labrador Limited,"St. John's, NL A1C 4Z5",6322-Cooks,1
,A&W Restaurant,"Happy Valley - Goose Bay, NL A0P 1C0",6311-Food service supervisors,2
,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",2261-Non-destructive testers and inspection technicians,1
,Arup Canada Inc.,"St. John's, NL A1B 4M7",0711-Construction managers,1
,,,2153-Urban and land use planners,1
,Atlantic Grocery Distributors,"Bay Roberts, NL A0A 1G0",7452-Material handlers,4
,,,7514-Delivery and courier service drivers,1
,Avalla Construction Inc.,"St. John's, NL A1E 6A3",7281-Bricklayers,4
,Bojo's Restaurants Inc.,"Springdale, NL A0J 1T0",6321-Chefs,1
,Braven NL Inc.,"St. John's, NL A1C 6J9",5222-Film and video camera operators,1
,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Food service supervisors,1
,Carol Automobile Ltd.,"Labrador City, NL A2V 2K6","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",6322-Cooks,2
,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",3111-Specialist physicians,5
,,,3112-General practitioners and family physicians,2
,CG Aberdeen Holdings Inc,"Paradise, NL A1L 1K9",6311-Food service supervisors,2
,City Light Holdings Inc.,"St.John's, NL A1E 2C2",6322-Cooks,1
,Connie Parsons School Of Dance,"St. John's, NL A1B 2M4",5134-Dancers,1
,D. J. Gift Shop Ltd.,"Hopedale, NL A0P 1G0",6211-Retail sales supervisors,1
,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A1","2273-Deck officers, water transport",7
,,,"2274-Engineer officers, water transport",7
,,,6322-Cooks,2
,,,6513-Food and beverage servers,6
,,,7242-Industrial electricians,4
,,,7532-Water transport deck and engine room crew,8
,EMC Enterprises Inc.,"Baie Verte, NL A0K 1B0",3236-Massage therapists,1
,Exceed (XCD) Canada Limited,"St. John's, NL A1C 2G9","8222-Contractors and supervisors, oil and gas drilling and services",1
,Exxonmobil Canada Properties Ltd,"St. John's, NL A1C 6K3",0711-Construction managers,1
,,,2133-Electrical and electronics engineers,2
,F.D.A. Enterprises Ltd.,"St. John's, NL A1B 1V1",6322-Cooks,1
,Forteau Sales & service,"Forteau, NL A0K 2P0","7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",1
,Frontier Season 1 (NL) Inc.,"St. John's, NL A1C 6J9",5135-Actors and comedians,4
,Genoa Design International Ltd,"Mount Pearl, NL A1N 4S7",2232-Mechanical engineering technologists and technicians,2
,Goulds Foods Inc.,"St. John's, NL A1B 1R4",6322-Cooks,1
,Green Food Industries Inc.,"St. John's, NL A1B 1W3",6322-Cooks,2
,H&E Williams Dairy Farm,"Goulds, NL A1S 1G5","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Hancock's Distributors,"Forteau, NL A0K 2P0",6421-Retail salespersons,1
,J & C Sod Farm Ltd,"Bay Bulls, NL A0A 1C0",8431-General farm workers,3
,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",0211-Engineering managers,1
,,,0711-Construction managers,2
,,,0811-Managers in natural resources production and fishing,1
,,,2131-Civil engineers,6
,,,"2148-Other professional engineers, n.e.c.",7
,,,2231-Civil engineering technologists and technicians,2
,,,"2273-Deck officers, water transport",3
,Labrador-Grenfell Regional Health Authority,"St. Anthony, NL A0K 4S0",3111-Specialist physicians,2
,,,3112-General practitioners and family physicians,1
,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",8431-General farm workers,2
,Leeward Enterprises,"Clarenville, NL A5A 1K5",3112-General practitioners and family physicians,1
,Lester's Dairy Farm,"St. John's, NL A1E 6J4",8431-General farm workers,1
,Lester's Farm Market,"Mount Pearl, NL A1N 2C4",8431-General farm workers,10
,Letto's Enterprises Ltd.,"L'anse au Clair, NL A0K 3K0",6311-Food service supervisors,1
,,,6312-Executive housekeepers,1
,,,6322-Cooks,1
,Little Peoples Workshop,"St. John's, NL A1E 5C3",4214-Early childhood educators and assistants,1
,Lower Churchill Management Corp.,"St. John's, NL A1A 4E1",2131-Civil engineers,3
,M &.P. Dairy Farm Ltd.,"Goulds, NL A1S 1G2","8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1
,Marmaris Holdings Inc.,"St. John's, NL A1A 5C9",6322-Cooks,2
,Memorial University Of Newfoundland and Labrador,"St. John's, NL A1C 5S7",4011-University professors and lecturers,3
,Merlo Associates Inc,"St. John's, NL A1B 3P9",6322-Cooks,1
,Metroworth Consulting (Canada) Ltd.,"St. John's, NL A1N 3K4","8222-Contractors and supervisors, oil and gas drilling and services",1
,Michele's Childcare,"Torbay, NL A1K 0G2",4411-Home child care providers,1
,Mila Foods Inc.,"St John's, NL A1E 1T2",6311-Food service supervisors,2
,Mom's Place Limited,"Happy Valley-Goose Bay, NL A0P 1C0",6322-Cooks,1
,NARL Refining Ltd Partnership,"Come By Chance, NL A0B 1N0",0911-Manufacturing managers,3
,New World Dairy Inc.,"St. David's, NL A0N 1X0",8431-General farm workers,6
,Newfoundland & Labrador Hydro,"St. John's, NL A1B 4K7",0711-Construction managers,1
,Newont Limited,"St. John's, NL A1E 2C5",6311-Food service supervisors,2
,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",6311-Food service supervisors,2
,Normie's Enterprises Inc,"Corner Brook, NL A2H 6T2",6322-Cooks,3
,O'Reilly's Irish Bar Inc.,"St. John's, NL A1C 5J9",6322-Cooks,2
,Paradise Daycare 2009 Inc.,"Paradise, NL A0A 2E0",4214-Early childhood educators and assistants,1
,Peter's Pizza,"Conception Bay South, NL A1W 3A4",6322-Cooks,2
