"Employeurs ayant obtenu une Étude d'impact sur le marché du travail (EIMT) positive en 2016, par classification nationale des professions (CNP) 2011 et lieu d’affaires",,,,
Province/Territoire,Employeur,Adresse,Profession sous CNP 2011,"Postes Approuvés
"
Terre-Neuve-et-Labrador,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",6311-Superviseurs des services alimentaires,1
,10565 NFLD. Inc.,"Goose Bay, NL A0P 1C0",6312-Gouvernants principaux,1
,,"Happy Valley Goose Bay, NL A0P 1C0",6312-Gouvernants principaux,2
,75038 Newfoundland and Labrador Limited,"St. John's, NL A1C 4Z5",6322-Cuisiniers,1
,A&W Restaurant,"Happy Valley - Goose Bay, NL A0P 1C0",6311-Superviseurs des services alimentaires,2
,Aker Solutions AIM Canada Inc.,"St John's, NL A1C 6C9",2261-Vérificateurs et essayeurs des essais non destructifs,1
,Arup Canada Inc.,"St. John's, NL A1B 4M7",711-Directeurs de la construction,1
,,,2153-Urbanistes et planificateurs de l'utilisation des sols,1
,Atlantic Grocery Distributors,"Bay Roberts, NL A0A 1G0",7452-Manutentionnaires,4
,,,7514-Chauffeurs-livreurs - services de livraison et de messagerie,1
,Avalla Construction Inc.,"St. John's, NL A1E 6A3",7281-Briqueteurs-maçons,4
,Bojo's Restaurants Inc.,"Springdale, NL A0J 1T0",6321-Chefs,1
,Braven NL Inc.,"St. John's, NL A1C 6J9",5222-Cadreurs de films et cadreurs vidéo,1
,Bugden Enterprises,"Conception Bay South, NL A1W 3A3",6311-Superviseurs des services alimentaires,1
,Carol Automobile Ltd.,"Labrador City, NL A2V 2K6","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,CBS Foods Ltd,"Conception Bay South, NL A1W 3A6",6322-Cuisiniers,2
,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",3111-Médecins spécialistes,5
,,,3112-Omnipraticiens et médecins en médecine familiale,2
,CG Aberdeen Holdings Inc,"Paradise, NL A1L 1K9",6311-Superviseurs des services alimentaires,2
,City Light Holdings Inc.,"St.John's, NL A1E 2C2",6322-Cuisiniers,1
,Connie Parsons School Of Dance,"St. John's, NL A1B 2M4",5134-Danseurs,1
,D. J. Gift Shop Ltd.,"Hopedale, NL A0P 1G0",6211-Superviseurs des ventes - commerce de détail,1
,DOF Subsea Canada Corp.,"Mount Pearl, NL A1N 0A1",2273-Officiers de pont du transport par voies navigables,7
,,,2274-Officiers mécaniciens du transport par voies navigables,7
,,,6322-Cuisiniers,2
,,,6513-Serveurs d'aliments et de boissons,6
,,,7242-Électriciens industriels,4
,,,7532-Matelots de pont et matelots de salle des machines du transport par voies navigables,8
,EMC Enterprises Inc.,"Baie Verte, NL A0K 1B0",3236-Massothérapeutes,1
,Exceed (XCD) Canada Limited,"St. John's, NL A1C 2G9",8222-Entrepreneurs et surveillants du forage et des services reliés à l'extraction de pétrole et de gaz,1
,Exxonmobil Canada Properties Ltd,"St. John's, NL A1C 6K3",711-Directeurs de la construction,1
,,,2133-Ingénieurs électriciens et électroniciens,2
,F.D.A. Enterprises Ltd.,"St. John's, NL A1B 1V1",6322-Cuisiniers,1
,Forteau Sales & service,"Forteau, NL A0K 2P0","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,Frontier Season 1 (NL) Inc.,"St. John's, NL A1C 6J9",5135-Acteurs et comédiens,4
,Genoa Design International Ltd,"Mount Pearl, NL A1N 4S7",2232-Technologues et techniciens en génie mécanique,2
,Goulds Foods Inc.,"St. John's, NL A1B 1R4",6322-Cuisiniers,1
,Green Food Industries Inc.,"St. John's, NL A1B 1W3",6322-Cuisiniers,2
,H&E Williams Dairy Farm,"Goulds, NL A1S 1G5","8252-Entrepreneurs de services agricoles, surveillants d'exploitations agricoles et ouvriers spécialisés dans l'élevage",1
,Hancock's Distributors,"Forteau, NL A0K 2P0",6421-Vendeurs - commerce de détail,1
,J & C Sod Farm Ltd,"Bay Bulls, NL A0A 1C0",8431-Ouvriers agricoles,3
,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",211-Directeurs des services de génie,1
,,,711-Directeurs de la construction,2
,,,811-Directeurs de l'exploitation des ressources naturelles et de la pêche,1
,,,2131-Ingénieurs civils,6
,,,"2148-Autres ingénieurs, n.c.a.",7
,,,2231-Technologues et techniciens en génie civil,2
,,,2273-Officiers de pont du transport par voies navigables,3
,Labrador-Grenfell Regional Health Authority,"St. Anthony, NL A0K 4S0",3111-Médecins spécialistes,2
,,,3112-Omnipraticiens et médecins en médecine familiale,1
,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",8431-Ouvriers agricoles,2
