Number of Positive and Negative Labour Market Impact Assessments (LMIAs) under the Seasonal Agricultural Worker Program (SAWP) by Location of Employment,,,,,,,,,,,,,,,,,
,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
Province/Territories,Location,2016-Positive,2016-Negative,2017-Positive,2017-Negative,2018-Positive,2018-Negative,2019-Positive,2019-Negative,2020-Positive,2020-Negative,2021-Positive,2021-Negative,2022-Positive,2022Negative,2023-Positive,2023-Negative
Newfoundland and Labrador,1010-Avalon Peninsula,2,0,2,0,3,0,3,0,5,0,3,0,2,0,4,0
,1030-West Coast--Northern Peninsula--Labrador,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
,1040-Notre Dame--Central Bonavista Bay,0,0,0,0,0,0,6,0,4,0,5,0,5,0,5,0
,Total,2,0,2,0,4,0,10,0,9,0,8,0,7,0,9,0
Prince Edward Island,1110-Prince Edward Island,33,2,42,0,44,0,48,0,60,0,50,0,75,0,72,0
,Total,33,2,42,0,44,0,48,0,60,0,50,0,75,0,72,0
Nova Scotia,1220-North Shore,12,2,14,0,22,1,23,0,21,0,23,0,30,0,27,0
,1230-Annapolis Valley,116,0,115,3,138,1,112,0,133,0,138,0,167,0,163,0
,1240-Southern,16,2,17,0,13,1,23,0,27,0,19,0,22,0,28,0
,1250-Halifax,2,0,2,0,1,0,2,0,4,0,0,0,1,0,3,0
,1299-Unspecified,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
,Total,146,4,148,3,174,3,161,0,185,0,180,0,222,0,221,0
New Brunswick,1310-Campbellton--Miramichi,2,0,2,0,1,0,2,0,2,0,1,0,2,0,5,0
,1320-Moncton--Richibucto,11,0,12,0,14,0,17,0,14,0,13,0,18,0,19,0
,1330-Saint John--St. Stephen,7,0,6,0,5,0,7,0,8,0,5,0,8,0,16,0
,1340-Fredericton--Oromocto,2,0,2,0,4,0,5,0,3,0,10,0,9,0,7,0
,1350-Edmundston--Woodstock,4,1,4,0,4,0,8,0,9,0,15,0,12,0,15,0
,1399-Unspecified,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
,Total,26,1,27,0,28,0,39,0,36,0,44,0,50,0,64,0
Quebec,2410-Gasp�sie -- �les-de-la-Madeleine,7,0,3,0,7,0,6,0,4,0,7,0,11,0,5,0
,2415-Bas-Saint-Laurent,20,0,18,0,17,0,30,0,17,0,22,0,39,0,32,0
,2420-Capitale-Nationale,83,1,81,0,72,1,84,0,81,0,81,0,86,0,87,0
,2425-Chaudi�re-Appalaches,121,0,67,0,86,0,106,0,74,1,109,0,109,0,86,0
,2430-Estrie,44,2,53,0,44,0,45,0,45,1,37,0,53,0,62,0
,2433-Centre-du-Qu�bec,101,1,79,0,98,0,106,0,76,0,71,1,109,0,100,0
,2435-Mont�r�gie,784,3,501,0,437,1,562,0,400,2,449,0,529,0,465,0
,2440-Montr�al,5,0,3,0,3,0,5,0,3,0,3,0,3,0,7,0
,2445-Laval,50,1,37,0,37,0,34,0,30,0,34,0,41,0,30,0
,2450-Lanaudi�re,308,0,192,0,185,0,215,0,165,1,197,0,223,0,197,0
,2455-Laurentides,211,2,148,0,149,0,167,1,126,2,154,0,189,0,159,0
,2460-Outaouais,12,0,12,0,11,0,16,2,8,0,10,0,9,0,9,0
,2465-Abitibi-T�miscamingue,7,0,3,0,12,0,19,0,15,0,12,0,12,0,17,0
,2470-Mauricie,45,0,50,0,23,0,65,0,39,0,60,0,66,0,61,0
,2475-Saguenay--Lac-Saint-Jean,22,0,14,0,21,0,33,0,22,0,27,0,33,0,45,0
,2480-C�te-Nord,1,0,4,0,3,1,1,0,2,0,3,0,7,0,9,0
,2490-Nord-du-Qu�bec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,2499-Unspecified,9,0,7,0,6,0,20,0,8,0,14,0,22,0,25,0
,Total,"1,831",10,"1,272",0,"1,211",3,"1,514",3,"1,115",7,"1,290",1,"1,541",0,"1,397",0
Ontario,3510-Ottawa,47,2,55,0,49,0,37,0,48,0,50,1,57,0,51,0
,3515-Kingston--Pembroke,30,0,43,1,43,1,42,2,43,0,46,0,51,0,46,0
,3520-Muskoka--Kawarthas,32,2,37,1,46,1,42,0,45,0,40,0,59,0,58,0
,3530-Toronto,166,2,188,2,185,2,179,1,151,1,164,0,197,0,194,0
,3540-Kitchener--Waterloo--Barrie,145,4,194,4,179,2,168,1,141,0,141,0,153,0,169,0
,3550-Hamilton--Niagara Peninsula,866,14,"1,073",17,"1,028",3,937,3,825,1,847,1,960,1,930,1
,3560-London,227,2,226,3,242,1,229,1,213,0,192,0,253,0,236,0
,3570-Windsor--Sarnia,638,12,585,12,580,0,492,2,465,0,476,0,496,0,427,0
,3580-Stratford--Bruce Peninsula,85,0,107,2,107,0,98,0,93,0,78,0,95,0,91,0
,3590-Northeast,19,0,26,1,26,0,25,0,25,0,20,0,27,0,28,0
,3595-Northwest,0,0,0,0,2,0,2,0,1,0,1,0,5,0,4,0
,3599-Unspecified,6,0,5,0,10,0,8,0,3,0,5,0,3,0,4,0
,Total,"2,261",38,"2,539",43,"2,497",10,"2,259",10,"2,053",2,"2,060",2,"2,356",1,"2,238",1
Manitoba,4610-Southeast,4,0,3,0,2,0,6,2,5,0,4,0,8,0,2,0
,4620-South Central,15,1,7,4,13,0,10,0,12,1,13,0,12,0,21,0
,4640-North Central,13,1,15,0,17,1,11,0,11,0,17,0,16,0,23,0
,4660-Interlake,1,0,3,0,2,0,4,0,3,0,2,0,3,0,1,0
,4670-Parklands,3,0,2,0,2,0,1,1,2,0,1,0,1,0,0,0
,4680-North,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
,4699-Unspecified,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
,Total,37,2,31,4,37,1,33,3,35,1,37,0,41,0,47,0
Saskatchewan,4710-Regina--Moose Mountain,3,0,4,0,5,1,4,0,5,0,4,0,7,0,5,0
,4720-Swift Current--Moose Jaw,2,0,1,0,1,0,2,0,2,0,2,0,7,0,5,1
,4730-Saskatoon--Biggar,15,0,14,1,17,0,12,0,13,0,15,1,7,0,13,0
,4740-Yorkton--Melville,3,1,3,0,1,0,1,0,2,0,3,0,4,0,5,0
,4750-Prince Albert,14,4,14,0,13,0,16,0,18,0,20,0,27,0,23,0
,4799-Unspecified,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Total,37,5,36,1,38,1,35,0,40,0,44,1,52,0,51,1
Alberta,4810-Lethbridge--Medicine Hat,55,6,55,5,77,5,59,1,44,0,63,3,51,0,58,0
,4820-Camrose--Drumheller,23,3,23,1,33,2,22,0,28,0,29,0,34,0,35,0
,4830-Calgary,21,0,18,3,33,0,24,1,22,0,17,0,28,0,21,0
,4840-Banff--Jasper--Rocky Mountain House,6,0,9,0,18,0,9,0,7,0,7,0,9,0,6,0
