,Province/Territories,Location,2016-Positive,2016-Negative,2017-Positive,2017-Negative,2018-Positive,2018-Negative,2019-Positive,2019-Negative,2020-Positive,2020-Negative,2021-Positive,2021-Negative,2022-Positive,2022Negative,2023-Positive,2023-Negative
0,Newfoundland and Labrador,1010-Avalon Peninsula,2,0.0,2,0.0,3,0.0,3,0.0,5,0.0,3,0.0,2,0.0,4,0.0
1,Newfoundland and Labrador,1030-West Coast--Northern Peninsula--Labrador,0,0.0,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,Newfoundland and Labrador,1040-Notre Dame--Central Bonavista Bay,0,0.0,0,0.0,0,0.0,6,0.0,4,0.0,5,0.0,5,0.0,5,0.0
3,Newfoundland and Labrador,Total,2,0.0,2,0.0,4,0.0,10,0.0,9,0.0,8,0.0,7,0.0,9,0.0
4,Prince Edward Island,1110-Prince Edward Island,33,2.0,42,0.0,44,0.0,48,0.0,60,0.0,50,0.0,75,0.0,72,0.0
5,Prince Edward Island,Total,33,2.0,42,0.0,44,0.0,48,0.0,60,0.0,50,0.0,75,0.0,72,0.0
6,Nova Scotia,1220-North Shore,12,2.0,14,0.0,22,1.0,23,0.0,21,0.0,23,0.0,30,0.0,27,0.0
7,Nova Scotia,1230-Annapolis Valley,116,0.0,115,3.0,138,1.0,112,0.0,133,0.0,138,0.0,167,0.0,163,0.0
8,Nova Scotia,1240-Southern,16,2.0,17,0.0,13,1.0,23,0.0,27,0.0,19,0.0,22,0.0,28,0.0
9,Nova Scotia,1250-Halifax,2,0.0,2,0.0,1,0.0,2,0.0,4,0.0,0,0.0,1,0.0,3,0.0
10,Nova Scotia,1299-Unspecified,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,2,0.0,0,0.0
11,Nova Scotia,Total,146,4.0,148,3.0,174,3.0,161,0.0,185,0.0,180,0.0,222,0.0,221,0.0
12,New Brunswick,1310-Campbellton--Miramichi,2,0.0,2,0.0,1,0.0,2,0.0,2,0.0,1,0.0,2,0.0,5,0.0
13,New Brunswick,1320-Moncton--Richibucto,11,0.0,12,0.0,14,0.0,17,0.0,14,0.0,13,0.0,18,0.0,19,0.0
14,New Brunswick,1330-Saint John--St. Stephen,7,0.0,6,0.0,5,0.0,7,0.0,8,0.0,5,0.0,8,0.0,16,0.0
15,New Brunswick,1340-Fredericton--Oromocto,2,0.0,2,0.0,4,0.0,5,0.0,3,0.0,10,0.0,9,0.0,7,0.0
16,New Brunswick,1350-Edmundston--Woodstock,4,1.0,4,0.0,4,0.0,8,0.0,9,0.0,15,0.0,12,0.0,15,0.0
17,New Brunswick,1399-Unspecified,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,2,0.0
18,New Brunswick,Total,26,1.0,27,0.0,28,0.0,39,0.0,36,0.0,44,0.0,50,0.0,64,0.0
19,Quebec,2410-Gasp�sie -- �les-de-la-Madeleine,7,0.0,3,0.0,7,0.0,6,0.0,4,0.0,7,0.0,11,0.0,5,0.0
20,Quebec,2415-Bas-Saint-Laurent,20,0.0,18,0.0,17,0.0,30,0.0,17,0.0,22,0.0,39,0.0,32,0.0
21,Quebec,2420-Capitale-Nationale,83,1.0,81,0.0,72,1.0,84,0.0,81,0.0,81,0.0,86,0.0,87,0.0
22,Quebec,2425-Chaudi�re-Appalaches,121,0.0,67,0.0,86,0.0,106,0.0,74,1.0,109,0.0,109,0.0,86,0.0
23,Quebec,2430-Estrie,44,2.0,53,0.0,44,0.0,45,0.0,45,1.0,37,0.0,53,0.0,62,0.0
24,Quebec,2433-Centre-du-Qu�bec,101,1.0,79,0.0,98,0.0,106,0.0,76,0.0,71,1.0,109,0.0,100,0.0
25,Quebec,2435-Mont�r�gie,784,3.0,501,0.0,437,1.0,562,0.0,400,2.0,449,0.0,529,0.0,465,0.0
26,Quebec,2440-Montr�al,5,0.0,3,0.0,3,0.0,5,0.0,3,0.0,3,0.0,3,0.0,7,0.0
27,Quebec,2445-Laval,50,1.0,37,0.0,37,0.0,34,0.0,30,0.0,34,0.0,41,0.0,30,0.0
