,Province/Territories,Unnamed: 1,Positive,Negative,Positive.1,Negative.1,Positive.2,Negative.2,Positive.3,Negative.3,Positive.4,Negative.4,Positive.5,Negative.5,Positive.6,Negative.6,Positive.7,Negative.7
0,Newfoundland and Labrador,1010-Avalon Peninsula,13,0,13,0,15,0.0,15,0.0,26,0.0,15,0.0,11,0.0,15,0.0
1,Newfoundland and Labrador,1030-West Coast--Northern Peninsula--Labrador,0,0,0,0,2,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,Newfoundland and Labrador,1040-Notre Dame--Central Bonavista Bay,0,0,0,0,0,0.0,16,0.0,14,0.0,15,0.0,16,0.0,18,0.0
3,Newfoundland and Labrador,Total,13,0,13,0,17,0.0,32,0.0,40,0.0,30,0.0,27,0.0,33,0.0
4,Prince Edward Island,1110-Prince Edward Island,279,6,330,0,338,0.0,443,0.0,564,0.0,314,0.0,469,0.0,480,0.0
5,Prince Edward Island,Total,279,6,330,0,338,0.0,443,0.0,564,0.0,314,0.0,469,0.0,480,0.0
6,Nova Scotia,1220-North Shore,319,7,419,0,937,6.0,472,0.0,475,0.0,539,0.0,842,0.0,584,0.0
7,Nova Scotia,1230-Annapolis Valley,"1,128",0,"1,221",17,"1,592",20.0,"1,126",0.0,"1,518",0.0,"1,538",0.0,"1,653",0.0,"1,814",0.0
8,Nova Scotia,1240-Southern,86,7,115,0,104,3.0,197,0.0,165,0.0,158,0.0,189,0.0,230,0.0
9,Nova Scotia,1250-Halifax,18,0,18,0,18,0.0,21,0.0,43,0.0,0,0.0,3,0.0,29,0.0
10,Nova Scotia,1299-Unspecified,0,0,0,0,0,0.0,5,0.0,0,0.0,0,0.0,8,0.0,0,0.0
11,Nova Scotia,Total,"1,551",14,"1,773",17,"2,651",29.0,"1,821",0.0,"2,201",0.0,"2,235",0.0,"2,695",0.0,"2,657",0.0
12,New Brunswick,1310-Campbellton--Miramichi,2,0,3,0,3,0.0,3,0.0,3,0.0,2,0.0,3,0.0,10,0.0
