Number of Temporary Foreign Worker (TFW) Positions on Positive and Negative Labour Market Impact Assessments (LMIAs) under the Seasonal Agricultural Worker Program (SAWP) by National Occupational Classification - 2011 (NOC) ,,,,,,,,,,,,,,,,,
,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,
Province/Territories,NOC,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative,Positive,Negative
Newfoundland and Labrador,8431-General farm workers,13,0,10,0,15,0,31,0,40,0,30,0,27,0,32,0
,8432-Nursery and greenhouse workers,0,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0
Prince Edward Island,8431-General farm workers,272,6,305,0,324,0,381,0,541,0,265,0,458,0,477,0
,8432-Nursery and greenhouse workers,7,0,11,0,12,0,54,0,17,0,0,0,0,0,0,0
,8611-Harvesting labourers,0,0,14,0,2,0,8,0,6,0,49,0,11,0,3,0
Nova Scotia,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,0
,8431-General farm workers,"1,352",2,"1,513",17,"2,493",26,"1,674",0,"1,957",0,"2,081",0,"2,436",0,"2,362",0
,8432-Nursery and greenhouse workers,184,11,202,0,139,3,131,0,173,0,97,0,222,0,246,0
,8611-Harvesting labourers,15,0,58,0,19,0,16,0,64,0,57,0,37,0,48,0
New Brunswick,8431-General farm workers,97,6,95,0,131,0,153,0,218,0,220,0,300,0,376,0
,8432-Nursery and greenhouse workers,38,0,53,0,41,0,84,0,75,0,114,0,95,0,184,0
,8611-Harvesting labourers,0,0,10,0,0,0,26,0,19,0,6,0,16,0,14,0
Quebec,0012-Senior government managers and officials,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,1121-Human resources professionals,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
,"4412-Home support workers, housekeepers and related occupations",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
,8241-Logging machinery operators,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",17,9,18,0,11,0,21,0,17,0,1,0,66,0,92,0
,"8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
,8421-Chain saw and skidder operators,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
,8431-General farm workers,"7,274",15,"5,422",0,"6,167",11,"8,130",1,"6,876",14,"7,710",0,"8,383",0,"7,509",0
,8432-Nursery and greenhouse workers,"1,702",3,"1,362",0,"1,536",0,"2,316",0,"1,660",0,"1,648",3,"1,771",0,"1,516",0
,8611-Harvesting labourers,333,1,248,0,19,5,3,0,1,0,83,0,295,0,133,0
,8612-Landscaping and grounds maintenance labourers,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Ontario,0822-Managers in horticulture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1,0,4,1,13,1,4,11,1,0,4,0,15,0,20,0
,8431-General farm workers,"11,796",318,"17,671",191,"16,889",43,"15,172",26,"14,055",5,"18,490",9,"19,355",5,"21,475",2
,8432-Nursery and greenhouse workers,"7,541",183,"8,239",50,"8,419",3,"7,848",4,"6,464",0,"3,325",0,"4,319",0,"4,942",0
,8611-Harvesting labourers,48,0,249,0,243,0,310,0,265,0,263,0,150,0,169,0
Manitoba,8431-General farm workers,386,4,443,47,510,4,503,4,569,4,376,0,462,0,657,0
,8432-Nursery and greenhouse workers,94,0,72,0,105,0,100,0,172,0,89,0,62,0,94,0
,8611-Harvesting labourers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0
Saskatchewan,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
,8431-General farm workers,138,23,149,0,177,5,129,0,146,0,154,2,148,0,204,2
,8432-Nursery and greenhouse workers,48,0,56,1,63,0,43,0,29,0,35,0,36,0,47,0
,8611-Harvesting labourers,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0
Alberta,0821-Managers in agriculture,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",55,2,2,0,24,5,14,0,21,4,17,0,28,0,100,0
