"Principaux pays de résidence, selon le nombre de postes de travailleurs étrangers temporaires (TET) visés par les études d'impact sur le marché du travail (EIMT) positives, selon la province ou le territoire",,
,,
Canada,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,39 187,1
Guatemala,15 065,2
Jamaique,13 096,3
Inde,7 110,4
Philippines,4 230,5
France,1 280,6
États-Unis,1 248,7
Viet-Nam,1 078,8
Trinité et Tobago,968,9
Thaïlande,938,10
Chine,920,11
Tunisie,795,12
Nicaragua,711,13
Ukraine,673,14
Royaume-Uni,602,15
Corée-du-Sud,596,16
Colombie,576,17
Maurice,540,18
Emirats Arabes Unis,512,19
Brésil,460,20
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,42 579,1
Guatemala,18 346,2
Jamaique,12 777,3
Inde,7 755,4
Philippines,4 894,5
Viet-Nam,1 433,6
États-Unis,1 379,7
France,1 348,8
Tunisie,922,9
Thaïlande,902,10
Chine,784,11
Emirats Arabes Unis,727,12
Royaume-Uni,674,13
Brésil,626,14
Honduras,604,15
Ukraine,600,16
Corée-du-Sud,595,17
Trinité et Tobago,560,18
Nicaragua,512,19
Maroc,510,20
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,56 348,1
Guatemala,23 782,2
Inde,20 697,3
Philippines,15 121,4
Jamaique,14 596,5
Tunisie,3 769,6
Viet-Nam,3 210,7
Maroc,2 881,8
Emirats Arabes Unis,2 194,9
France,2 078,10
États-Unis,1 891,11
Chine,1 879,12
Colombie,1 667,13
Cameroun,1 511,14
Taiwan,1 480,15
Maurice,1 465,16
Brésil,1 423,17
Thaïlande,1 416,18
Royaume-Uni,1 222,19
Corée-du-Sud,1 141,20
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,58 823,1
Inde,27 475,2
Guatemala,21 893,3
Jamaique,15 754,4
Philippines,12 416,5
Viet-Nam,3 453,6
Tunisie,3 027,7
Chine,3 023,8
Maroc,2 840,9
France,1 912,10
Cameroun,1 850,11
États-Unis,1 623,12
Emirats Arabes Unis,1 477,13
Colombie,1 442,14
Algérie,1 253,15
Thaïlande,1 126,16
Pakistan,1 085,17
Trinité et Tobago,1 064,18
Brésil,988,19
Royaume-Uni,914,20
Terre-Neuve-et-Labrador,,
2020,,
Pays de citoyenneté,Positions,Rang
Malaisie,191,1
Thaïlande,130,2
Royaume-Uni,119,3
Pays-Bas,88,4
Philippines,70,5
Jamaique,49,6
Norvège,38,7
Russie,28,8
États-Unis,28,8
Pologne,16,10
2021,,
Pays de citoyenneté,Positions,Rang
Malaisie,111,1
Royaume-Uni,80,2
Pays-Bas,76,3
Philippines,71,4
Jamaique,34,5
Pologne,34,5
Norvège,33,7
Mexique,21,8
Inde,20,9
États-Unis,18,10
2022,,
Pays de citoyenneté,Positions,Rang
Philippines,294,1
Royaume-Uni,265,2
Thaïlande,220,3
Norvège,113,4
Mexique,74,5
Taiwan,70,6
Inde,59,7
Jamaique,36,8
Pologne,25,9
États-Unis,24,10
2023,,
Pays de citoyenneté,Positions,Rang
Philippines,560,1
Mexique,247,2
Norvège,135,3
Thaïlande,125,4
Royaume-Uni,118,5
Taiwan,105,6
Inde,60,7
Jamaique,38,8
États-Unis,22,9
Pays-Bas,15,10
Île-du-Prince-Édouard,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,756,1
Philippines,453,2
Chine,124,3
Inde,74,4
Jamaique,30,5
Taiwan,29,6
Viet-Nam,23,7
,18,8
Royaume-Uni,11,9
Thaïlande,8,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,575,1
Philippines,379,2
Viet-Nam,121,3
Chine,87,4
Inde,70,5
Taiwan,33,6
Jamaique,30,7
Thaïlande,18,8
Guatemala,11,9
Allemagne,9,10
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,1 017,1
Philippines,638,2
Taiwan,124,3
Inde,60,4
Chine,51,5
Jamaique,39,6
Viet-Nam,27,7
Emirats Arabes Unis,25,8
Colombie,12,9
Japon,11,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,700,1
Philippines,297,2
Inde,88,3
Viet-Nam,57,4
Chine,43,5
Taiwan,24,6
Thaïlande,21,7
Jamaique,19,8
Guatemala,17,9
Colombie,16,10
Nouvelle-Écosse,,
2020,,
Pays de citoyenneté,Positions,Rang
Jamaique,1 368,1
Mexique,1 257,2
Guatemala,59,3
Taiwan,54,4
États-Unis,34,5
Inde,32,6
Pologne,31,7
Thaïlande,18,8
Norvège,17,9
Malaisie,16,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,1 655,1
Jamaique,1 417,2
Philippines,111,3
Guatemala,77,4
Taiwan,76,5
Inde,73,6
Thaïlande,43,7
Sainte-Lucie,40,8
États-Unis,38,9
Corée-du-Sud,22,10
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,2 003,1
Jamaique,1 766,2
Inde,329,3
Philippines,316,4
Taiwan,86,5
Thaïlande,70,6
Viet-Nam,48,7
Chine,46,8
États-Unis,45,9
Corée-du-Sud,39,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,1 868,1
Jamaique,1 564,2
Inde,323,3
Philippines,310,4
Guatemala,92,5
Chine,74,6
Taiwan,56,7
Viet-Nam,43,8
Corée-du-Sud,35,9
Royaume-Uni,34,10
Nouveau-Brunswick,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,1 089,1
Jamaique,553,2
Philippines,296,3
Chine,41,4
Ukraine,34,5
Inde,32,6
Corée-du-Sud,32,6
Taiwan,20,8
Guatemala,18,9
,16,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,1 341,1
Philippines,285,2
Jamaique,272,3
Taiwan,204,4
Inde,106,5
Ukraine,40,6
Chine,34,7
Corée-du-Sud,33,8
Serbie,19,9
Emirats Arabes Unis,19,9
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,3 181,1
Philippines,947,2
Jamaique,848,3
Taiwan,283,4
Inde,124,5
Chine,61,6
Guatemala,46,7
Viet-Nam,42,8
République Dominicaine,36,9
Maroc,34,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,1 982,1
Jamaique,683,2
Philippines,674,3
Inde,142,4
Guatemala,59,5
Nepal,46,6
Chine,38,7
République Dominicaine,37,8
Viet-Nam,31,9
États-Unis,29,10
Québec,,
2020,,
Pays de citoyenneté,Positions,Rang
Guatemala,12 117,1
Mexique,10 450,2
France,1 232,3
Philippines,1 200,4
Tunisie,781,5
Maurice,512,6
Colombie,504,7
Maroc,369,8
Madagascar,317,9
Honduras,261,10
2021,,
Pays de citoyenneté,Positions,Rang
Guatemala,14 923,1
Mexique,11 254,2
France,1 309,3
Tunisie,907,4
Philippines,855,5
Maroc,475,6
Honduras,341,7
Colombie,303,8
Maurice,302,9
Cameroun,264,10
2022,,
Pays de citoyenneté,Positions,Rang
Guatemala,19 487,1
Mexique,16 328,2
Tunisie,3 685,3
Philippines,3 220,4
Maroc,2 744,5
France,2 012,6
Cameroun,1 410,7
Colombie,1 313,8
Maurice,1 264,9
Madagascar,999,10
2023,,
Pays de citoyenneté,Positions,Rang
Guatemala,16 997,1
Mexique,14 725,2
Tunisie,2 985,3
Maroc,2 681,4
Philippines,2 247,5
France,1 858,6
Cameroun,1 789,7
Algérie,1 215,8
Colombie,1 064,9
Maurice,798,10
Ontario,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,14 210,1
Jamaique,8 835,2
Guatemala,1 767,3
Inde,1 570,4
Trinité et Tobago,878,5
Philippines,776,6
États-Unis,539,7
Thaïlande,475,8
Ukraine,361,9
,290,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,16 877,1
Jamaique,9 039,2
Guatemala,2 211,3
Inde,1 958,4
Philippines,1 400,5
États-Unis,526,6
Trinité et Tobago,519,7
Thaïlande,465,8
Ukraine,280,9
Emirats Arabes Unis,267,10
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,19 680,1
Jamaique,9 616,2
Inde,4 857,3
Philippines,2 727,4
Guatemala,2 525,5
Trinité et Tobago,839,6
Thaïlande,683,7
États-Unis,679,8
Emirats Arabes Unis,557,9
Viet-Nam,422,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,20 933,1
Jamaique,10 966,2
Inde,7 422,3
Philippines,2 871,4
Guatemala,2 684,5
Trinité et Tobago,988,6
Viet-Nam,833,7
Chine,618,8
Thaïlande,613,9
États-Unis,589,10
Manitoba,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,767,1
Inde,223,2
Nicaragua,127,3
Philippines,111,4
Australie,36,5
États-Unis,27,6
Jamaique,26,7
Dubai,13,8
Guatemala,13,8
Nouvelle-Zélande,13,8
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,583,1
Inde,247,2
Philippines,87,3
Nicaragua,74,4
États-Unis,54,5
Emirats Arabes Unis,38,6
Australie,37,7
Dubai,35,8
Nigéria,28,9
Brésil,22,10
2022,,
Pays de citoyenneté,Positions,Rang
Inde,1 034,1
Mexique,725,2
Philippines,400,3
Nicaragua,113,4
Emirats Arabes Unis,104,5
Chine,98,6
Afrique du Sud,65,7
Nigéria,50,8
États-Unis,44,9
Jamaique,43,10
2023,,
Pays de citoyenneté,Positions,Rang
Inde,1 348,1
Mexique,895,2
Philippines,238,3
Chine,230,4
Nicaragua,80,5
Jamaique,57,6
Emirats Arabes Unis,54,7
Viet-Nam,48,8
Pakistan,36,9
Afrique du Sud,31,10
Saskatchewan,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,235,1
Nicaragua,212,2
Inde,64,3
États-Unis,48,4
Afrique du Sud,46,5
Philippines,38,6
Ukraine,26,7
Royaume-Uni,22,8
Australie,18,9
Allemagne,15,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,263,1
Nicaragua,160,2
Inde,95,3
États-Unis,66,4
Afrique du Sud,52,5
Viet-Nam,29,6
Philippines,26,7
Corée-du-Sud,19,8
Royaume-Uni,18,9
Emirats Arabes Unis,15,10
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,363,1
Inde,332,2
Nicaragua,205,3
Philippines,204,4
Afrique du Sud,107,5
États-Unis,100,6
Viet-Nam,98,7
Chine,40,8
Emirats Arabes Unis,40,8
Corée-du-Sud,39,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,440,1
Inde,401,2
Philippines,295,3
Nicaragua,251,4
Viet-Nam,161,5
États-Unis,123,6
Chine,82,7
Afrique du Sud,69,8
Taiwan,29,9
Corée-du-Sud,28,10
Alberta,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,1 695,1
Inde,729,2
Philippines,592,3
Guatemala,169,4
Thaïlande,150,5
États-Unis,111,6
Chine,109,7
Emirats Arabes Unis,101,8
Nicaragua,96,9
Corée-du-Sud,89,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,1 762,1
Inde,819,2
Philippines,632,3
Nouvelle-Zélande,237,4
Guatemala,194,5
États-Unis,165,6
Thaïlande,149,7
Nicaragua,143,8
Corée-du-Sud,126,9
Emirats Arabes Unis,122,10
2022,,
Pays de citoyenneté,Positions,Rang
Inde,4 534,1
Philippines,3 166,2
Mexique,2 932,3
Emirats Arabes Unis,605,4
Viet-Nam,383,5
Chine,341,6
États-Unis,335,7
Sri Lanka,234,8
Dubai,203,9
Corée-du-Sud,198,10
2023,,
Pays de citoyenneté,Positions,Rang
Inde,6 470,1
Mexique,3 647,2
Philippines,2 701,3
Chine,802,4
Viet-Nam,521,5
Emirats Arabes Unis,302,6
Nepal,283,7
Guatemala,268,8
Sri Lanka,252,9
Pakistan,233,10
Colombie-Britannique,,
2020,,
Pays de citoyenneté,Positions,Rang
Mexique,8 718,1
Inde,4 277,2
Jamaique,2 057,3
Guatemala,916,4
Viet-Nam,781,5
Philippines,671,6
Chine,478,7
Corée-du-Sud,364,8
États-Unis,303,9
Emirats Arabes Unis,207,10
2021,,
Pays de citoyenneté,Positions,Rang
Mexique,8 245,1
Inde,4 269,2
Jamaique,1 809,3
Viet-Nam,1 044,4
Philippines,1 039,5
Guatemala,893,6
Chine,383,7
États-Unis,363,8
Corée-du-Sud,325,9
Singapour,262,10
2022,,
Pays de citoyenneté,Positions,Rang
Mexique,10 039,1
Inde,9 045,2
Philippines,3 104,3
Viet-Nam,2 034,4
Jamaique,2 012,5
Guatemala,1 631,6
Chine,800,7
Corée-du-Sud,630,8
Emirats Arabes Unis,605,9
Iran,510,10
2023,,
Pays de citoyenneté,Positions,Rang
Mexique,13 385,1
Inde,10 925,2
Jamaique,2 181,3
Philippines,2 158,4
Guatemala,1 756,5
Viet-Nam,1 588,6
Chine,1 045,7
Iran,410,8
Corée-du-Sud,394,9
Emirats Arabes Unis,342,10
Yukon,,
2020,,
Pays de citoyenneté,Positions,Rang
Royaume-Uni,31,1
États-Unis,3,2
Viet-Nam,1,3
,,
,,
,,
,,
,,
,,
,,
2021,,
Pays de citoyenneté,Positions,Rang
Royaume-Uni,75,1
États-Unis,37,2
Mexique,3,3
Inde,2,4
Chine,1,5
Croatie,1,5
Suisse,1,5
,,
,,
,,
2022,,
Pays de citoyenneté,Positions,Rang
États-Unis,53,1
Royaume-Uni,46,2
Philippines,9,3
Mexique,4,4
Inde,3,5
Nicaragua,3,5
Chine,2,7
Tchèque-République,2,7
Irlande,2,7
Mongolie,2,7
2023,,
Pays de citoyenneté,Positions,Rang
Royaume-Uni,78,1
États-Unis,20,2
Afrique du Sud,5,3
Australie,2,4
Philippines,2,4
Singapour,2,4
Chine,1,7
Allemagne,1,7
Inde,1,7
Irlande,1,7
Territoires-du-Nord-Ouest,,
2020,,
Pays de citoyenneté,Positions,Rang
Inde,2,1
