"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC) skill level and management group of occupations, and province/territory",,,,,,,,
Canada,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,"1,913","1,752","1,508","2,245","2,721","2,608","4,041","4,663"
A - Professionals,"4,554","3,835","4,293","5,901","5,095","6,445","11,388","8,970"
B - Skilled and Technical,"19,094","19,454","18,980","29,411","26,303","27,517","62,999","67,068"
C - Intermediate and Clerical,"61,572","69,152","79,759","85,308","82,967","88,146","116,274","127,850"
D - Elemental and Labourers,"3,181","3,953","4,448","7,587","8,187","8,479","28,140","31,084"
Canada - Total,"90,314","98,146","108,988","130,457","125,279","133,196","222,847","239,646"
Newfoundland and Labrador,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,75,34,14,9,17,23,11,14
A - Professionals,147,84,21,55,43,48,45,54
B - Skilled and Technical,"1,126",787,321,308,529,401,561,387
C - Intermediate and Clerical,333,301,119,110,180,199,493,701
D - Elemental and Labourers,60,11,2,13,158,23,343,512
Newfoundland and Labrador - Total,"1,741","1,217",477,495,927,694,"1,453","1,668"
Prince Edward Island,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,9,4,4,3,9,7,4,6
A - Professionals,42,11,2,5,6,3,8,4
B - Skilled and Technical,53,57,22,48,50,51,140,120
C - Intermediate and Clerical,795,962,980,"1,107","1,641","1,356","1,962","1,372"
D - Elemental and Labourers,47,22,4,16,18,87,177,209
Prince Edward Island - Total,946,"1,056","1,012","1,179","1,724","1,504","2,291","1,711"
Nova Scotia,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,52,60,43,42,48,44,56,54
A - Professionals,130,70,65,63,55,119,163,97
B - Skilled and Technical,412,284,188,244,190,244,677,664
C - Intermediate and Clerical,"1,762","2,176","3,024","2,340","2,783","3,454","4,129","3,596"
D - Elemental and Labourers,100,113,74,134,183,300,567,"1,025"
Nova Scotia - Total,"2,456","2,703","3,394","2,823","3,259","4,161","5,593","5,437"
New Brunswick,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,10,9,4,6,13,13,32,32
A - Professionals,35,29,8,22,12,23,51,35
B - Skilled and Technical,285,169,117,206,160,311,542,540
C - Intermediate and Clerical,"1,128","1,516","1,208","1,599","2,649","2,501","5,448","3,627"
D - Elemental and Labourers,13,77,24,141,52,167,"1,065",780
New Brunswick - Total,"1,471","1,800","1,361","1,974","2,886","3,015","7,138","5,015"
Quebec,,,,,,,,
Management Occupations and Skill Level (A - D),2016,2017,2018,2019,2020,2021,2022,2023
0 - Management Occupations,132,129,151,197,201,220,487,593
A - Professionals,"1,038",982,"1,435","2,433","2,026","2,581","4,675","3,707"
B - Skilled and Technical,"1,678","1,594","2,136","3,862","4,171","3,815","13,779","15,182"
C - Intermediate and Clerical,"16,362","13,528","16,366","24,606","22,969","26,172","36,850","34,107"
