"Number of temporary foreign worker (TFW) positions on positive Labour Market Impact Assessments (LMIAs) by National Occupational Classification - 2011 (NOC), and province/territory",,,,,,,,
Canada,,,,,,,,
NOC Code and Occupational Group,,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023
0011 - Legislators,0,0,0,0,0,0,0,0
0012 - Senior government managers and officials,0,2,2,0,5,1,3,6
"0013 - Senior managers - financial, communications and other business services",95,103,126,194,197,192,190,316
"0014 - Senior managers - health, education, social and community services and membership organizations",12,24,20,35,54,49,38,72
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",63,73,91,154,186,201,170,280
"0016 - Senior managers - construction, transportation, production and utilities",112,115,127,120,174,172,150,236
0111 - Financial managers,39,27,14,27,27,32,76,92
0112 - Human resources managers,18,10,10,6,11,16,28,55
0113 - Purchasing managers,25,23,13,20,28,26,45,48
0114 - Other administrative services managers,18,10,14,17,20,37,120,149
"0121 - Insurance, real estate and financial brokerage managers",5,3,1,1,6,7,4,9
"0122 - Banking, credit and other investment managers",6,2,5,1,5,6,9,15
"0124 - Advertising, marketing and public relations managers",124,107,81,67,97,109,185,225
0125 - Other business services managers,12,14,11,21,39,55,68,51
0131 - Telecommunication carriers managers,2,3,2,3,6,2,1,0
0132 - Postal and courier services managers,1,1,0,0,0,4,0,2
0211 - Engineering managers,54,71,40,54,23,32,45,54
0212 - Architecture and science managers,5,16,9,11,5,7,11,13
0213 - Computer and information systems managers,88,123,177,249,245,376,662,407
0311 - Managers in health care,4,4,2,3,5,8,6,13
0411 - Government managers - health and social policy development and program administration,0,0,0,0,0,0,1,1
"0412 - Government managers - economic analysis, policy development and program administration",1,0,0,2,1,3,0,1
0413 - Government managers - education policy development and program administration,0,0,0,2,0,0,0,1
0414 - Other managers in public administration,0,0,0,0,0,0,0,0
0421 - Administrators - post-secondary education and vocational training,5,6,5,4,7,8,9,7
0422 - School principals and administrators of elementary and secondary education,5,5,1,2,3,3,4,3
"0423 - Managers in social, community and correctional services",2,2,2,3,1,9,5,8
0431 - Commissioned police officers,0,0,0,0,0,0,0,0
0432 - Fire chiefs and senior firefighting officers,0,0,0,0,0,0,0,1
0433 - Commissioned officers of the Canadian Forces,1,5,2,9,1,5,0,11
"0511 - Library, archive, museum and art gallery managers",5,2,3,0,1,0,2,0
"0512 - Managers - publishing, motion pictures, broadcasting and performing arts",21,10,6,4,6,4,7,8
"0513 - Recreation, sports and fitness program and service directors",9,10,5,5,8,3,11,10
0601 - Corporate sales managers,36,43,23,36,69,55,99,130
0621 - Retail and wholesale trade managers,227,181,145,246,267,248,356,350
0631 - Restaurant and food service managers,407,357,271,596,729,516,"1,055","1,421"
0632 - Accommodation service managers,53,46,35,50,48,35,75,80
"0651 - Managers in customer and personal services, n.e.c.",45,59,46,89,114,115,112,88
0711 - Construction managers,151,98,82,71,105,93,190,177
0712 - Home building and renovation managers,4,2,2,4,8,16,34,29
0714 - Facility operation and maintenance managers,32,20,11,12,15,21,40,47
0731 - Managers in transportation,50,25,25,27,28,32,55,51
0811 - Managers in natural resources production and fishing,17,11,5,3,7,2,3,4
0821 - Managers in agriculture,54,57,45,45,93,41,72,93
0822 - Managers in horticulture,32,21,16,20,24,16,26,28
0823 - Managers in aquaculture,1,1,1,1,1,4,4,1
0911 - Manufacturing managers,69,59,31,31,51,45,69,69
0912 - Utilities managers,3,1,1,0,1,2,1,1
1111 - Financial auditors and accountants,28,23,14,27,16,25,69,54
1112 - Financial and investment analysts,21,31,15,23,26,23,61,102
"1113 - Securities agents, investment dealers and brokers",3,6,0,1,1,1,0,1
1114 - Other financial officers,9,4,1,3,6,8,20,54
1121 - Human resources professionals,4,10,4,10,14,22,49,72
1122 - Professional occupations in business management consulting,96,57,38,41,38,31,98,174
"1123 - Professional occupations in advertising, marketing and public relations",46,67,59,110,176,164,424,622
"1211 - Supervisors, general office and administrative support workers",41,40,22,50,58,35,58,118
"1212 - Supervisors, finance and insurance office workers",18,18,9,15,17,13,18,48
"1213 - Supervisors, library, correspondence and related information workers",10,8,1,0,0,0,1,0
"1214 - Supervisors, mail and message distribution occupations",1,0,1,0,1,1,8,25
"1215 - Supervisors, supply chain, tracking and scheduling co-ordination occupations",203,213,161,339,385,334,647,740
1221 - Administrative officers,173,233,244,584,606,549,"1,466","1,998"
1222 - Executive assistants,34,16,13,19,29,21,54,45
1223 - Human resources and recruitment officers,32,30,15,30,46,53,206,212
1224 - Property administrators,10,7,1,8,15,14,29,49
1225 - Purchasing agents and officers,65,51,42,31,35,28,114,131
1226 - Conference and event planners,14,18,26,33,21,9,36,63
1227 - Court officers and justices of the peace,0,0,0,0,0,0,0,1
"1228 - Employment insurance, immigration, border services and revenue officers",0,0,0,0,0,0,0,0
1241 - Administrative assistants,87,183,287,735,891,750,"2,122","3,337"
1242 - Legal administrative assistants,14,11,6,21,26,24,74,82
1243 - Medical administrative assistants,11,14,21,36,55,55,111,154
"1251 - Court reporters, medical transcriptionists and related occupations",0,0,0,0,0,0,0,0
1252 - Health information management occupations,0,1,0,0,0,1,2,3
1253 - Records management technicians,0,1,2,1,2,0,4,5
1254 - Statistical officers and related research support occupations,0,0,1,1,0,0,2,6
1311 - Accounting technicians and bookkeepers,140,159,172,375,439,371,"1,170","1,820"
1312 - Insurance adjusters and claims examiners,1,1,0,0,3,0,2,7
1313 - Insurance underwriters,0,1,3,0,0,0,7,3
"1314 - Assessors, valuators and appraisers",0,0,0,1,1,2,2,2
"1315 - Customs, ship and other brokers",2,2,2,1,1,1,2,4
