NOC,2016_Positive,2016_Negative,2017_Positive,2017_Negative,2018_Positive,2018_Negative,2019_Positive,2019_Negative,2020_Positive,2020_Negative,2021_Positive,2021_Negative,2022_Positive,2022_Negative,2023_Positive,2023_Negative
0012-Senior government managers and officials,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0821-Managers in agriculture,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0822-Managers in horticulture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1121-Human resources professionals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4412-Home support workers, housekeepers and related occupations",0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8241-Logging machinery operators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
"8252-Agricultural service contractors, farm supervisors and specialized livestock workers",148.0,24.0,48.0,2.0,96.0,12.0,78.0,22.0,96.0,8.0,44.0,0.0,224.0,0.0,436.0,0.0
"8255-Contractors and supervisors, landscaping, grounds maintenance and horticulture services",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
8421-Chain saw and skidder operators,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8431-General farm workers,55232.0,2284.0,63612.0,1756.0,73014.0,808.0,65964.0,338.0,64426.0,94.0,73062.0,114.0,78200.0,24.0,87732.0,20.0
8432-Nursery and greenhouse workers,24300.0,742.0,24532.0,314.0,27204.0,126.0,26646.0,60.0,23140.0,20.0,15672.0,12.0,18302.0,0.0,21952.0,0.0
8611-Harvesting labourers,796.0,10.0,1288.0,14.0,774.0,10.0,812.0,0.0,1248.0,0.0,1360.0,6.0,1092.0,8.0,962.0,0.0
8612-Landscaping and grounds maintenance labourers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
