,Province/Territory,Program Stream,Employer,Address,Occupation,Incorporate Status,Requested LMIAs,Requested Positions,Year,Date,Month,ZipCode,NOC 2016 V1.3 Code,NOC 2016 V1.3 Title,NOC 2021 V1.0 Code,NOC 2021 V1.0 Title,Teer
0,Newfoundland and Labrador,Low Wage,Blair Holdings Limited,"Corner Brook, NL A2H 4C5",6731-Light duty cleaners,Unknown,1.0,2.0,2023,October 2023,October,A2H 4C5,6731,Light duty cleaners,65310,Light duty cleaners,5
1,Prince Edward Island,Primary Agriculture,Pure Pork Genetics Ltd.,"montague, PE C0A 1R0",8431-General farm workers,Unknown,1.0,3.0,2023,October 2023,October,C0A 1R0,8431,General farm workers,84120,Specialized livestock workers and farm machinery operators,4
2,Prince Edward Island,Primary Agriculture,Pure Pork Genetics Ltd.,"montague, PE C0A 1R0",8431-General farm workers,Unknown,1.0,3.0,2023,October 2023,October,C0A 1R0,8431,General farm workers,85100,Livestock labourers,5
3,Prince Edward Island,Primary Agriculture,Pure Pork Genetics Ltd.,"montague, PE C0A 1R0",8431-General farm workers,Unknown,1.0,3.0,2023,October 2023,October,C0A 1R0,8431,General farm workers,85101,Harvesting labourers,5
4,Nova Scotia,Low Wage,3323061 Nova Scotia Limited,"HALIFAX, NS B3J 0E8",1311-Accounting technicians and bookkeepers,Unknown,1.0,1.0,2023,October 2023,October,B3J 0E8,1311,Accounting technicians and bookkeepers,12200,Accounting technicians and bookkeepers,2
5,Nova Scotia,Low Wage,4438865 nova scotia limited,"Currys Corner, NS B0N 2T0",6211-Retail sales supervisors,Unknown,1.0,1.0,2023,October 2023,October,B0N 2T0,6211,Retail sales supervisors,62010,Retail sales supervisors,2
6,Nova Scotia,Low Wage,Simply Pho You,"Yarmouth, NS B5A 1H1",6322-Cooks,Unknown,1.0,1.0,2023,October 2023,October,B5A 1H1,6322,Cooks,63200,Cooks,3
7,New Brunswick,High Wage,12200601 CANADA INC,"SAINT JOHN, NB E2L 3S5","0015-Senior managers - trade, broadcasting and other services, n.e.c.",Unknown,1.0,1.0,2023,October 2023,October,E2L 3S5,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",00014,"Senior managers - trade, broadcasting and other services",0
8,New Brunswick,High Wage,Day & Ross Inc.,"Hartland, NB E7P 1C6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,E7P 1C6,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",2
9,New Brunswick,High Wage,Day & Ross Inc.,"Hartland, NB E7P 1C6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,E7P 1C6,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",13201,Production and transportation logistics coordinators,3
10,New Brunswick,High Wage,Day & Ross Inc.,"Hartland, NB E7P 1C6","1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",Unknown,1.0,1.0,2023,October 2023,October,E7P 1C6,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",74202,Air transport ramp attendants,4
11,New Brunswick,High Wage,DWARKA CIVIL CONSTRUCTION MANAGEMENT LIMITED,"SAINT JOHN, NB E2J 1C7",2264-Construction inspectors,Unknown,1.0,1.0,2023,October 2023,October,E2J 1C7,2264,Construction inspectors,22233,Construction inspectors,2
12,New Brunswick,High Wage,VIJGREEN CONSTRUCTION MANAGEMENT LTD.,"Saint John,, NB E2J 1C7",0711-Construction managers,Unknown,2.0,2.0,2023,October 2023,October,E2J 1C7,0711,Construction managers,70010,Construction managers,0
13,New Brunswick,Low Wage,685433 N.-B.Ltee,"ST ISIDORE, NB E8M 1C1",0621-Retail and wholesale trade managers,Unknown,1.0,1.0,2023,October 2023,October,E8M 1C1,0621,Retail and wholesale trade managers,60020,Retail and wholesale trade managers,0
14,New Brunswick,Low Wage,Fen's Market Inc.,"Woodstock, NB E7M 4L9",6611-Cashiers,Unknown,1.0,3.0,2023,October 2023,October,E7M 4L9,6611,Cashiers,65100,Cashiers,5
15,New Brunswick,Low Wage,Hotel Shediac,"Shediac, NB E4P 0M2",6731-Light duty cleaners,Unknown,1.0,2.0,2023,October 2023,October,E4P 0M2,6731,Light duty cleaners,65310,Light duty cleaners,5
16,Quebec,High Wage,9427-3661 Québec inc.,"SAINT JEROME, QC J7Y 1J3",1241-Administrative assistants,Partnership,1.0,1.0,2023,October 2023,October,J7Y 1J3,1241,Administrative assistants,13110,Administrative assistants,3
17,Quebec,High Wage,A A RECRUTEMENT DES TRAVAILLEURS,"VICTORIAVILLE, QC G6P 2M6",1241-Administrative assistants,Unknown,1.0,1.0,2023,October 2023,October,G6P 2M6,1241,Administrative assistants,13110,Administrative assistants,3
18,Quebec,High Wage,Bazar café inc,"Montréal, QC H2S 1R6",7251-Plumbers,Unknown,1.0,1.0,2023,October 2023,October,H2S 1R6,7251,Plumbers,72300,Plumbers,2
19,Quebec,High Wage,Les studios Besame inc.,"Montréal, QC H2S 2M3","6562-Estheticians, electrologists and related occupations",Unknown,1.0,1.0,2023,October 2023,October,H2S 2M3,6562,"Estheticians, electrologists and related occupations",63211,"Estheticians, electrologists and related occupations",3
20,Quebec,High Wage,Martial Excavation Inc.,"Saint-Hubert, QC J3Y 2S1",7511-Transport truck drivers,Unknown,1.0,1.0,2023,October 2023,October,J3Y 2S1,7511,Transport truck drivers,73300,Transport truck drivers,3
21,Quebec,High Wage,PSK Consultation,"Montreal, QC H8R 2G1",0601-Corporate sales managers,Unknown,1.0,1.0,2023,October 2023,October,H8R 2G1,0601,Corporate sales managers,60010,Corporate sales managers,0
22,Quebec,High Wage,Sailor Productions Inc,"MONTREAL, QC H2S 2L9","5131-Producers, directors, choreographers and related occupations",Unknown,1.0,1.0,2023,October 2023,October,H2S 2L9,5131,"Producers, directors, choreographers and related occupations",51120,"Producers, directors, choreographers and related occupations",1
23,Quebec,High Wage,SELEKKTUS Solutions d'embauche inc.,"Montreal, QC H3C 1L9","1211-Supervisors, general office and administrative support workers",Unknown,1.0,1.0,2023,October 2023,October,H3C 1L9,1211,"Supervisors, general office and administrative support workers",12010,"Supervisors, general office and administrative support workers",2
